Commit_ID,Commit_Developer,,Commit_Date,Day
b4a5a4c,Abdullrahman ElHayek,fix button poisition in the search bar,2019-06-20 13:05:08 +0300,
0b2d91d,Abdullrahman ElHayek,new landing-page image,2019-06-11 17:14:38 +0300,
77d0597,Abdullrahman ElHayek,centre the search bar in the main page,2019-06-11 17:13:38 +0300,
ff92b39,Abdullrahman ElHayek,adding a new landing page image ( for the search bar ),2019-06-11 15:51:14 +0300,
3d08100,Abdullrahman ElHayek,unify uploaded image for related topics,2019-06-11 15:21:51 +0300,
8e6112f,Abdullrahman ElHayek,Y starts at 0 for vertical,2019-06-11 12:15:47 +0300,
b2621ac,Abdullrahman ElHayek,fix search pagintation version 2 ..,2019-06-09 14:42:02 +0300,
b54b947,Abdullrahman ElHayek,fix search pagintation version 1 ..,2019-06-09 14:19:00 +0300,
4c0fd5d,Abdullrahman ElHayek,change search / sort action to be on chnage rather than on click,2019-06-09 13:01:08 +0300,
e4477d9,Morad Taleeb,Datasets wizard: autoho highlight required fields when they're being filled or empty,2019-06-01 14:48:24 +0300,
c4689e8,Morad Taleeb,Datasets wizard: fixed required fields labels,2019-06-01 13:59:18 +0300,
e11ad1a,Morad Taleeb,Merge branch 'master' of https://github.com/knafeh/indicators-new,2019-06-01 13:26:29 +0300,
42e7416,Morad Taleeb,Datasets and Files: Added reset to language filter,2019-06-01 13:26:18 +0300,
f41b2d8,Abdullrahman ElHayek,Testing search with less tolerance for phrases,2019-05-31 18:44:37 +0300,
3a5af90,Abdullrahman ElHayek,18 item per page,2019-05-31 18:16:43 +0300,
ade8327,Morad Taleeb,Styled ais pagination,2019-05-31 15:19:23 +0300,
1cc7dac,Morad Taleeb,Made search icon clickable,2019-05-31 14:33:21 +0300,
7bc2e27,Abdullrahman ElHayek,fix the file .. search v3,2019-05-30 12:21:30 +0300,
b5fd01d,Abdullrahman ElHayek,fix return key with multi-select,2019-05-30 11:35:47 +0300,
a1d2095,Abdullrahman ElHayek,x - y labeling,2019-05-30 11:15:17 +0300,
cd31003,Abdullrahman ElHayek,fix v4 of file navigation,2019-05-30 11:07:20 +0300,
276965d,Abdullrahman ElHayek,fix v3 of file navigation,2019-05-30 10:39:16 +0300,
875522,Abdullrahman ElHayek,fix v2 for file and enter problem,2019-05-30 10:18:15 +0300,
7332899,Abdullrahman ElHayek,fix file upload problem ( anchor to button ),2019-05-30 10:05:45 +0300,
df7cc0f,Abdullrahman ElHayek,fix visulize for : It doesnï¿½ï¿½ï¿½t recognize the value column as a numeric variable File I,2019-05-29 19:23:31 +0300,
1a2eeab,Abdullrahman ElHayek,fix search for : Number of Schools in Palestine by Region and Academic Year Percentage of Individuals 15 Years + with Bachelor's Degree and above by Country problem is that apostrophe s,2019-05-29 18:55:32 +0300,
0a94f2c,Abdullrahman ElHayek,fix add new file modal dismissal by pressing enter,2019-05-29 18:16:18 +0300,
03e0bb3,Abdullrahman ElHayek,fix file delete from the main grid after search,2019-05-29 17:55:46 +0300,
d16ff04,Abdullrahman ElHayek,only datasets at production will show in algolia,2019-05-29 17:28:04 +0300,
970b155,Abdullrahman ElHayek,update remaining datasets,2019-05-29 17:22:24 +0300,
c86b536,Abdullrahman ElHayek,update all datasets information,2019-05-29 17:06:26 +0300,
1691f89,Abdullrahman ElHayek,add audit information for algolia backend,2019-05-29 16:06:57 +0300,
2eeb69b,Abdullrahman ElHayek,Only one dot after a sentence,2019-05-28 15:42:31 +0300,
0bb82fd,Abdullrahman ElHayek,fixed request and suggestion form + contact_us message,2019-05-28 15:40:40 +0300,
453bd5c,Abdullrahman ElHayek,add ais-pagination to algolia search : needs styling from morad,2019-05-28 12:35:38 +0300,
2ba7a4e,Karam Hijazi,Merge pull request #28 from knafeh/bug-fixes,5/27/2019 10:13,
72177ec,Karam Hijazi,Merge branch 'master' of https://github.com/knafeh/indicators-new into bug-fixes,5/27/2019 10:12,
8e84d47,Karam Hijazi,fix the styling with only upload button,5/27/2019 10:11,
e9f2e97,Abdullrahman ElHayek,fix order sort naming as Lour wants,2019-05-27 15:26:07 +0300,
35d8eab,abdullrahman yusuf elhayek,Merge pull request #27 from knafeh/bug-fixes,2019-05-27 15:17:29 +0300,
6fef99c,Morad Taleeb,Sort and Order by text,2019-05-25 15:23:02 +0300,
85907a9,Karam Hijazi,fixing bugs,5/25/2019 2:26,
26b580c,Abdullrahman ElHayek,fix footer messages,2019-05-23 13:38:35 +0300,
d789de9,Abdullrahman ElHayek,change reply message,2019-05-23 13:33:41 +0300,
81d57c2,Abdullrahman ElHayek,add search by ID,2019-05-23 13:21:59 +0300,
ca97ce3,Abdullrahman ElHayek,restore it to normal test dfsdf problem,2019-05-23 11:34:02 +0300,
5ce1121,Abdullrahman ElHayek,debug test dfsdf problem,2019-05-23 11:22:15 +0300,
26e34d1,Abdullrahman ElHayek,remove year scaling for plotly,2019-05-22 15:07:10 +0300,
db5ac88,Abdullrahman ElHayek,fix year scaling for plolty.,2019-05-22 14:50:12 +0300,
e04b557,Abdullrahman ElHayek,fix year scaling for highchart line chart,2019-05-22 13:15:45 +0300,
